filename,volume,date,prob_topic_id_0,prob_topic_id_1,prob_topic_id_2,prob_topic_id_3,prob_topic_id_4,prob_topic_id_5,prob_topic_id_6,prob_topic_id_7,prob_topic_id_8,prob_topic_id_9,prob_topic_id_10,prob_topic_id_11,prob_topic_id_12,prob_topic_id_13,prob_topic_id_14,prob_topic_id_15,prob_topic_id_16,prob_topic_id_17,prob_topic_id_18,prob_topic_id_19,prob_topic_id_20,prob_topic_id_21,prob_topic_id_22,prob_topic_id_23,prob_topic_id_24,prob_topic_id_25,prob_topic_id_26,prob_topic_id_27,prob_topic_id_28,prob_topic_id_29,prob_topic_id_30,prob_topic_id_31
Vol.5_2016年5月3日 配信.txt,5,2016年5月3日,1.3412017167394943e-05,1.3412017167393678e-05,1.3412017167395407e-05,1.341201716739693e-05,1.3412017167396353e-05,1.3412017167393964e-05,1.341201716739562e-05,1.3412017167396156e-05,1.3412017167394762e-05,1.3412017167395194e-05,1.3412017167393678e-05,1.341201716739511e-05,1.3412017167396063e-05,1.3412017167396376e-05,1.3412017167396251e-05,1.341201716739578e-05,1.3412017167393678e-05,1.3412017167393678e-05,1.341201716739586e-05,1.3412017167395077e-05,1.3412017167395014e-05,1.3412017167394252e-05,1.3412017167393678e-05,1.3412017167395294e-05,1.3412017167393678e-05,1.3412017167394464e-05,0.9995842274678108,1.3412017167396409e-05,1.3412017167396114e-05,1.341201716739527e-05,1.341201716743042e-05,1.3412017167396327e-05
Vol.6_2016年5月10日 配信.txt,6,2016年5月10日,1.560939060943429e-05,1.5609390609431e-05,0.01650067874004505,1.5609390609433425e-05,1.5609390609434547e-05,1.5609390609431196e-05,1.560939060943397e-05,1.5609390609434564e-05,1.5609390609432914e-05,1.560939060943379e-05,1.5609390609431e-05,1.5609390609435106e-05,1.5609390609434476e-05,0.6744725317086344,1.560939060943367e-05,1.5609390609433998e-05,1.5609390609431e-05,1.5609390609431e-05,1.5609390609434272e-05,1.5609390609434706e-05,1.5609390609432297e-05,1.5609390609433368e-05,1.5609390609431e-05,1.560939060943315e-05,1.5609390609431e-05,1.560939060943314e-05,1.560939060943476e-05,0.308574117223647,1.5609390609433967e-05,1.5609390609433686e-05,1.5609390609433564e-05,1.5609390609433835e-05
Vol.7_2016年5月17日 配信.txt,7,2016年5月17日,3.175813008133991e-05,3.175813008133538e-05,3.175813008134018e-05,3.175813008133951e-05,3.175813008134079e-05,3.175813008133574e-05,3.175813008134008e-05,3.175813008133978e-05,3.175813008134e-05,3.175813008133915e-05,3.175813008133538e-05,3.1758130081340586e-05,3.175813008134199e-05,3.1758130081343405e-05,3.1758130081341515e-05,3.1758130081342985e-05,3.175813008133538e-05,3.175813008133538e-05,3.175813008134283e-05,0.13565939094850812,3.175813008134306e-05,3.175813008133693e-05,3.175813008133538e-05,3.175813008134007e-05,3.175813008133538e-05,3.175813008133769e-05,0.15777697920208564,0.7056426440770474,3.175813008134021e-05,3.175813008133925e-05,3.175813008134042e-05,3.1758130081343595e-05
Vol.8_2016年5月24日 配信.txt,8,2016年5月24日,1.2616067824005415e-05,1.2616067824003611e-05,1.2616067824005847e-05,1.26160678240056e-05,1.2616067824006254e-05,1.2616067824003782e-05,1.2616067824005615e-05,1.2616067824005578e-05,1.2616067824007467e-05,0.0036176681617438853,1.2616067824003611e-05,1.261606782400632e-05,1.2616067824006271e-05,0.09674829180512001,1.2616067824006096e-05,0.03225456459456907,1.2616067824003611e-05,1.2616067824003611e-05,1.2616067824006152e-05,0.01870512181996336,1.261606782400556e-05,1.2616067824005461e-05,1.2616067824003611e-05,1.2616067824005304e-05,1.2616067824003611e-05,1.261606782400496e-05,0.8367666081365501,1.2616067824005881e-05,0.011579727718629428,1.2616067824005587e-05,1.2616067824006281e-05,1.2616067824006483e-05
Vol.9_2016年6月7日 配信.txt,9,2016年6月7日,1.196859440829878e-05,1.1968594408296883e-05,1.196859440829863e-05,1.1968594408298525e-05,1.1968594408299023e-05,1.1968594408297077e-05,0.057682909374029805,1.1968594408299836e-05,1.1968594408298635e-05,1.1968594408298435e-05,1.1968594408296883e-05,1.1968594408299211e-05,0.07493523121199376,0.132097977350309,1.196859440829923e-05,1.1968594408299448e-05,1.1968594408296883e-05,1.1968594408296883e-05,0.7156791252472627,1.1968594408298525e-05,1.1968594408297749e-05,1.1968594408297973e-05,1.1968594408296883e-05,1.1968594408298821e-05,1.1968594408296883e-05,1.196859440829788e-05,1.1968594408299462e-05,0.01928160476738065,1.196859440829971e-05,1.1968594408298584e-05,1.1968594408299086e-05,1.1968594408299902e-05
Vol.10_2016年6月14日 配信.txt,10,2016年6月14日,1.2342022116945251e-05,1.2342022116943625e-05,1.2342022116945168e-05,1.2342022116945816e-05,1.2342022116945712e-05,1.2342022116944816e-05,1.2342022116945604e-05,1.234202211694593e-05,1.2342022116945189e-05,1.234202211694586e-05,1.2342022116943625e-05,1.2342022116944969e-05,1.2342022116946109e-05,0.8781227932290444,1.234202211694593e-05,0.10474701765492238,1.2342022116943625e-05,1.2342022116943625e-05,0.009339448326516222,1.2342022116945328e-05,1.234202211694523e-05,1.2342022116944799e-05,1.2342022116943625e-05,1.2342022116946901e-05,1.2342022116943625e-05,1.234202211694453e-05,1.2342022116946082e-05,1.2342022116945826e-05,1.2342022116946285e-05,1.2342022116944857e-05,1.2342022116945919e-05,0.007445164170242556
Vol.11_2016年6月21日 配信.txt,11,2016年6月21日,1.4534883720949144e-05,1.453488372094704e-05,1.4534883720948809e-05,1.4534883720952646e-05,1.4534883720949322e-05,1.4534883720947127e-05,1.453488372094933e-05,1.4534883720949212e-05,1.4534883720948617e-05,1.4534883720949598e-05,1.453488372094704e-05,1.4534883720949048e-05,1.4534883720949586e-05,0.002714187334977157,1.4534883720949515e-05,1.4534883720949698e-05,1.453488372094704e-05,1.453488372094704e-05,1.4534883720949412e-05,1.4534883720948824e-05,1.4534883720948502e-05,1.4534883720947462e-05,1.453488372094704e-05,1.4534883720948724e-05,1.453488372094704e-05,1.4534883720947904e-05,0.0010630995405110767,1.4534883720949519e-05,0.9958012014966042,1.4534883720948163e-05,1.453488372094943e-05,1.453488372094979e-05
Vol.12_2016年6月28日 配信.txt,12,2016年6月28日,2.1215207060448376e-05,2.1215207060445422e-05,2.1215207060448766e-05,2.1215207060450592e-05,2.1215207060448827e-05,2.121520706044545e-05,0.8537052411629116,2.1215207060448468e-05,2.1215207060448078e-05,2.121520706044877e-05,2.1215207060445422e-05,2.1215207060448593e-05,2.1215207060449684e-05,0.024585206104438803,2.1215207060449342e-05,2.1215207060449708e-05,2.1215207060445422e-05,2.1215207060445422e-05,2.1215207060448407e-05,2.1215207060448593e-05,2.1215207060447628e-05,2.121520706044674e-05,2.1215207060445422e-05,2.1215207060447394e-05,2.1215207060445422e-05,2.121520706044722e-05,2.1215207060449152e-05,0.12109431172789671,2.1215207060449867e-05,2.1215207060447092e-05,2.1215207060449366e-05,2.1215207060448756e-05
Vol.13_2016年7月5日 配信.txt,13,2016年7月5日,1.42304189435621e-05,1.4230418943559376e-05,1.4230418943562243e-05,1.4230418943561367e-05,0.04170150628167792,1.4230418943559525e-05,1.4230418943561494e-05,1.4230418943562934e-05,1.4230418943562366e-05,1.4230418943562382e-05,1.4230418943559376e-05,1.4230418943562985e-05,1.4230418943562783e-05,0.1594209705529386,1.4230418943563115e-05,1.4230418943563047e-05,1.4230418943559376e-05,1.4230418943559376e-05,1.4230418943561968e-05,1.4230418943563047e-05,1.423041894356252e-05,1.4230418943562517e-05,1.4230418943559376e-05,1.4230418943561497e-05,1.4230418943559376e-05,1.4230418943561443e-05,1.4230418943562634e-05,1.4230418943562692e-05,0.7655629758019361,0.0026863139599606106,1.4230418943561973e-05,0.03024401209201058
Vol.14_2016年7月12日 配信.txt,14,2016年7月12日,1.1850587789171717e-05,1.1850587789170039e-05,1.1850587789172116e-05,1.1850587789171568e-05,1.185058778917184e-05,1.1850587789170166e-05,1.185058778917144e-05,1.1850587789171782e-05,1.185058778917302e-05,1.185058778917217e-05,1.1850587789170039e-05,1.1850587789172673e-05,1.1850587789172605e-05,0.9996326317785357,1.185058778917222e-05,1.1850587789172802e-05,1.1850587789170039e-05,1.1850587789170039e-05,1.1850587789172183e-05,1.1850587789172747e-05,1.1850587789172448e-05,1.1850587789172526e-05,1.1850587789170039e-05,1.1850587789171316e-05,1.1850587789170039e-05,1.185058778917031e-05,1.1850587789172871e-05,1.1850587789171787e-05,1.1850587789172126e-05,1.1850587789171187e-05,1.1850587789171834e-05,1.1850587789172488e-05
